@relation 'KC1-weka.filters.unsupervised.attribute.Remove-R1-6,8-15,17-21'

@attribute l numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
0.34,0,false
0.25,0,false
0.67,0,false
0.06,0,false
0.16,0,false
0,0,false
0.11,0,false
1,0,false
0.13,0,false
0.09,0,false
0.1,0,false
0.06,0,false
0.17,0,false
0.06,0,false
0.5,0,false
0.25,0,false
0.67,0,false
0.09,0,false
0.67,0,false
0.19,0,false
0.56,0,false
2,0,false
0.67,0,false
0.67,0,false
0.4,0,false
1,0,false
0.12,0,false
0,0,false
0.25,0,false
0.33,1,false
0.33,0,false
1,0,false
0.4,1,false
0.21,0,false
0.4,0,false
0.18,0,false
0.5,0,false
0.4,0,false
0.07,0,false
0.4,0,false
0.1,0,false
0.4,0,false
0.2,0,false
0.05,0,false
0.29,0,false
0,0,false
0.05,0,false
0.33,0,false
0.15,0,false
0.67,0,false
0.67,0,false
0.39,0,false
0.4,0,false
0,0,false
0.5,0,false
0,0,false
0.2,0,false
0.17,0,false
0.67,0,false
0.03,0,false
0.15,0,false
1,0,false
0.11,0,false
0.07,0,false
0.67,0,false
0.04,1,false
0.1,0,false
0.15,0,false
0.42,0,false
0.08,0,false
0.67,0,false
0.09,0,false
0.18,0,false
0.16,0,false
0.3,0,false
0.34,0,false
0.05,0,false
1,0,false
0.06,4,false
0.1,0,false
0.31,0,false
0.67,0,false
0,0,false
1,0,false
0.3,0,false
0.4,0,false
0.06,0,false
0.67,0,false
0.33,0,false
0.21,0,false
0.34,0,false
0.19,0,false
0.4,0,false
0.07,0,false
0.4,0,false
0.5,0,false
0.12,0,false
0.67,0,false
0.17,0,false
0.67,0,false
0.5,0,false
0.67,0,false
0.14,0,false
0.67,0,false
0.03,8,false
0.67,0,false
0.67,0,false
0.29,0,false
0,0,false
0.07,0,false
0.31,0,false
0.67,0,false
0.67,0,false
0.19,0,false
0.02,0,false
0.33,0,false
0.21,0,false
0.67,0,false
0.67,0,false
0.07,0,false
0.67,0,false
0.67,0,false
0.4,0,false
0.33,0,false
0.06,0,false
0.67,0,false
0,0,false
0.67,0,false
0.33,0,false
0.1,0,false
0.67,0,false
0.67,0,false
0.4,0,false
0.06,0,false
0.09,0,false
0.15,1,false
0.06,1,false
0.03,0,false
0.33,0,false
0.67,0,false
0.19,0,false
0.28,1,false
0.35,0,false
0.25,0,false
0.67,0,false
0.15,0,false
0.13,0,false
0.24,0,false
0.07,0,false
0.22,0,false
0.05,4,false
0.67,0,false
0.67,0,false
0.67,0,false
0.21,0,false
0.67,0,false
0.67,0,false
0.67,0,false
0.21,0,false
0.4,0,false
0.06,3,false
0,0,false
0,0,false
0.21,0,false
0.06,2,false
0.5,0,false
0.11,0,false
0.22,0,false
0.13,1,false
0.67,0,false
0.07,0,false
0.11,0,false
0.06,0,false
0.44,0,false
0.4,0,false
0,0,false
0.67,0,false
0.04,0,false
0.15,0,true
0.02,0,true
0.04,0,true
0.05,0,true
0.07,0,true
0.07,0,true
0.4,0,true
0.1,1,true
0.05,0,true
0.29,0,true
0.08,0,true
0.04,1,true
0.04,0,true
0.08,0,true
0.12,0,true
0,0,true
0.14,0,true
0.29,0,true
0.06,0,true
0.33,0,true
0.03,0,true
0.14,0,true
0.04,0,true
0.3,0,true
0.08,0,true
0.1,0,true
0.67,0,true
0.02,0,true
0.1,0,true
0.04,0,true
0.25,0,true
0.07,0,true
0.05,0,true
