@relation 'KC1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-13,17-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
1,0.15,1,2,0,false
1,0.4,0,0,0,false
1,0,0,0,0,false
1,0.16,1,0,0,false
1,0.5,0,0,0,false
1,0.12,0,3,0,false
1,0.15,0,0,0,false
1,0.4,0,0,0,false
7,0.06,2,3,1,false
1,2,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.12,1,2,0,false
1,0.33,0,0,1,false
1,0.24,0,0,0,false
7,0.06,4,11,0,false
1,0.23,0,1,0,false
1,0.29,0,0,0,false
4,0.04,16,5,0,false
1,0.18,0,0,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.29,0,0,0,false
3,0.23,0,2,0,false
1,0.06,0,3,0,false
1,0,0,0,0,false
1,0.13,0,0,1,false
1,0.5,0,0,0,false
1,0.15,0,2,1,false
5,0.02,0,16,0,false
1,0.1,0,2,0,false
1,0.4,0,0,0,false
3,0.07,6,1,1,false
1,0,0,0,0,false
1,0.64,0,0,0,false
1,0.18,0,0,0,false
1,0,0,0,0,false
4,0.06,0,2,0,false
1,0.05,0,2,5,false
1,0.21,0,0,0,false
1,0.15,0,0,0,false
1,0.67,0,0,0,false
1,0.5,0,0,0,false
1,0.67,0,0,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
1,0.25,0,5,0,false
1,0.67,0,0,0,false
1,0.16,0,1,0,false
1,0.4,0,0,0,false
1,0.25,3,2,0,false
1,2,0,0,0,false
1,0.33,0,0,0,false
1,0.4,0,0,0,false
1,0.67,0,0,0,false
1,1,0,0,0,false
1,0.67,0,0,0,false
1,0.33,0,2,0,false
1,0.09,1,2,0,false
3,0.05,0,4,0,false
1,0.31,0,2,0,false
1,0.16,1,2,0,false
1,0.67,0,0,0,false
1,0.4,0,0,0,false
3,0.07,0,7,0,false
5,0.05,4,5,0,false
1,0.67,0,0,0,false
