@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-15,17-21,23-30,32-44,46-61'

@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute class {buggy,clean}

@data
0,0,0,0,clean
0,0,0,3,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,12,clean
0,0,0,2,clean
0,0,0,1,clean
0,0,0,1,clean
0,0,0,7,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,0,clean
0,2.02,0.000842,0,clean
0,0,0,1,clean
0,0,0,5,clean
3,0,0,1,clean
0,0,0,0,clean
1,0,0,0,clean
0,0,0,3,clean
0,0,0,0,clean
0,0,0,6,clean
1,1.01,0,0,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,3,clean
1,0,0,0,clean
0,0,0,0,clean
0,0,0,7,clean
0,0,0,2,clean
2,0,0,0,clean
0,0,0,1,clean
2,0,0,0,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,3,clean
0,0,0,1,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,1,clean
4,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
9,0,0,0,clean
0,0,0,0,clean
1,1.01,0.000828,0,clean
0,0,0,12,clean
2,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,2,clean
0,0,0,4,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,2,clean
0,0,0,0,clean
1,0,0,0,clean
0,0,0,0,clean
3,0,0,0,clean
1,1.01,0,0,clean
0,0,0,0,clean
0,0,0,5,clean
0,0,0,1,clean
0,0,0,3,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,1,clean
1,1.01,0.001203,0,clean
0,0,0,10,clean
0,0,0,0,clean
0,0,0,0,clean
2,0,0,0,clean
0,0,0,0,clean
0,0,0,0,clean
0,0,0,2,clean
0,0,0,0,clean
0,0,0,0,clean
11,2.02,0.002501,0,buggy
0,0,0,0,buggy
0,0,0,0,buggy
0,0,0,1,buggy
0,0,0,0,buggy
0,0,0,1,buggy
0,0,0,0,buggy
3,1.01,0.000367,0,buggy
3,3.03,0.006412,0,buggy
1,0,0,0,buggy
0,0,0,11,buggy
0,0,0,0,buggy
0,0,0,3,buggy
4,0,0,0,buggy
2,0,0,0,buggy
0,0,0,0,buggy
3,0,0,0,buggy
0,0,0,1,buggy
0,0,0,12,buggy
0,0,0,0,buggy
0,0,0,0,buggy
